zip_code,time_of_day,foot_traffic_score
90401,morning,72.5
90401,afternoon,88.3
90401,evening,64.1
90026,morning,55.8
90026,afternoon,74.2
90026,evening,69.7
90291,morning,60.4
90291,afternoon,85.6
90291,evening,78.9
94103,morning,80.1
94103,afternoon,95.4
94103,evening,71.2
94110,morning,66.9
94110,afternoon,89.7
94110,evening,82.3
94609,morning,50.2
94609,afternoon,68.5
94609,evening,58.0
90230,morning,45.6
90230,afternoon,62.8
90230,evening,53.4
90802,morning,48.3
90802,afternoon,66.1
90802,evening,59.8
